violation_id,timestamp,latitude,longitude,zone,severity,violation_type,driver_id,driver_name,driver_initials,driver_category,driver_company,driver_risk_score,driver_risk_label,driver_status,driver_status_label
V-005873,2026-04-27T10:01,25.27985,55.31145,Deira,low,Idling,D-01247,Turki Al Shehhi,TS,Public Bus,RTA Public Transport,5.4,Moderate,active,Active
V-007172,2026-04-27T09:55,25.26512,55.33718,Deira,high,Speeding,D-01507,Ahmed Al Zaabi,AZ,Public Bus,RTA Public Transport,6.1,Moderate,active,Active
V-008775,2026-04-27T09:55,24.984,55.19915,Dubai Investment Park,low,Lane Violation,D-01872,Khalid Al Shehhi,KS,School Bus,Al Reef School Transport,4.2,Moderate,investigation,Under Investigation
V-013224,2026-04-27T09:52,25.13727,55.39099,Silicon Oasis,moderate,Speeding,D-02786,Marwan Al Romaithi,MR,Limousine & E-Hail,Emirates Limousine,2.6,Low Risk,active,Active
V-001169,2026-04-27T09:46,25.06588,55.13084,Dubai Marina,high,Camera Tampering,D-00257,Adel Al Mehairi,AM,Taxi,Emirates Taxi LLC,5.9,Moderate,active,Active
V-013329,2026-04-27T09:37,25.08644,55.12941,JBR,moderate,Harsh Braking,D-02811,Faisal Al Shamsi,FS,Limousine & E-Hail,Emirates Limousine,5.8,Moderate,active,Active
V-006619,2026-04-27T09:33,25.12768,55.20841,Al Barsha,moderate,Speeding,D-01405,Nasser Al Awadhi,NA,Public Bus,Dubai Transport Co.,4.2,Moderate,active,Active
V-003865,2026-04-27T09:31,25.1939,55.22345,Jumeirah,moderate,Speeding,D-00814,Majid Al Mansoori,MM,Taxi,Metro Taxi,6.8,High Risk,investigation,Under Investigation
V-014553,2026-04-27T09:19,25.18162,55.275,Business Bay,high,Speeding,D-03063,Adel Al Dhaheri,AD,Marine,Dubai Ferry Services,8.5,Critical,investigation,Under Investigation
V-001517,2026-04-27T09:17,25.11453,55.20369,Al Barsha,moderate,Harsh Braking,D-00325,Marwan Al Sharqi,MS,Taxi,Metro Taxi,6.8,High Risk,suspended,Suspended
V-004468,2026-04-27T09:15,25.04545,55.24566,Dubai Sports City,low,Speeding,D-00942,Riyad Al Marri,RM,Taxi,Cars Taxi,7.5,High Risk,active,Active
V-006729,2026-04-27T09:11,25.12157,55.20091,Al Barsha,high,Distraction,D-01425,Hamad Al Ameri,HA,Public Bus,RTA Public Transport,6.7,High Risk,investigation,Under Investigation
V-007247,2026-04-27T09:08,25.11936,55.19386,Al Barsha,moderate,Phone Use,D-01521,Yousef Al Mansoori,YM,Public Bus,Dubai Transport Co.,2.8,Low Risk,active,Active
V-004769,2026-04-27T08:54,25.2794,55.40448,Al Qusais,low,Distraction,D-01008,Fahad Al Shamsi,FS,Taxi,Dubai Taxi Corp,5.2,Moderate,active,Active
V-004377,2026-04-27T08:43,25.21047,55.27392,Downtown Dubai,low,Speeding,D-00925,Jassim Al Rashidi,JR,Taxi,Emirates Taxi LLC,7.3,High Risk,investigation,Under Investigation
V-004651,2026-04-27T08:40,25.26286,55.34879,Deira,low,Speeding,D-00985,Rashid Al Jaberi,RJ,Taxi,Dubai Taxi Corp,8.5,Critical,suspended,Suspended
V-000987,2026-04-27T08:32,25.07155,55.16489,Dubai Marina,low,Speeding,D-00216,Saif Al Qasimi,SQ,Taxi,Cars Taxi,1.7,Low Risk,active,Active
V-006573,2026-04-27T08:32,25.18786,55.26902,Downtown Dubai,moderate,Route Deviation,D-01390,Yusuf Al Mulla,YM,Public Bus,Dubai Transport Co.,8.7,Critical,investigation,Under Investigation
V-003199,2026-04-27T08:29,24.97204,55.09528,Jebel Ali,moderate,Speeding,D-00666,Obaid Al Mehrezi,OM,Taxi,Cars Taxi,9.0,Critical,suspended,Suspended
V-005743,2026-04-27T08:23,25.08501,55.12795,JBR,low,Speeding,D-01215,Hussein Al Mehairi,HM,Public Bus,RTA Public Transport,3.5,Moderate,investigation,Under Investigation
V-008288,2026-04-27T08:22,25.18559,55.21819,Jumeirah,high,Distraction,D-01749,Rakan Al Mahmoud,RM,Public Bus,Dubai Transport Co.,3.6,Moderate,active,Active
V-003057,2026-04-27T08:09,25.15756,55.24446,Al Quoz,moderate,Phone Use,D-00642,Turki Al Qasimi,TQ,Taxi,Cars Taxi,3.8,Moderate,investigation,Under Investigation
V-009871,2026-04-27T08:08,25.06238,55.15335,Dubai Marina,high,Speeding,D-02099,Ali Al Ali,AA,School Bus,GEMS Transport,3.2,Low Risk,active,Active
V-014363,2026-04-27T08:03,25.14533,55.23668,Al Quoz,moderate,Distraction,D-03034,Rashid Al Maktoum,RM,Marine,Emirates Marine Transport,9.9,Critical,investigation,Under Investigation
V-015286,2026-04-27T07:57,25.05277,55.2208,Dubai Sports City,low,Phone Use,D-03224,Saif Al Hosani,SH,Hourly Rental,Budget Rent-a-Car,5.1,Moderate,active,Active
V-000358,2026-04-27T07:45,25.29211,55.42498,Al Qusais,low,Lane Violation,D-00088,Sultan Al Hosani,SH,Taxi,Dubai Taxi Corp,5.7,Moderate,active,Active
V-005355,2026-04-27T07:35,25.25701,55.32528,Deira,high,Camera Tampering,D-01141,Nayef Al Rashidi,NR,Taxi,National Taxi,5.3,Moderate,active,Active
V-006712,2026-04-27T07:29,25.11578,55.20069,Al Barsha,moderate,Harsh Braking,D-01420,Ziad Al Khouri,ZK,Public Bus,RTA Public Transport,6.4,Moderate,active,Active
V-003917,2026-04-27T07:26,25.18753,55.20822,Jumeirah,high,Speeding,D-00824,Turki Al Sayegh,TS,Taxi,Metro Taxi,8.6,Critical,suspended,Suspended
V-006491,2026-04-27T07:26,25.07191,55.1475,Dubai Marina,high,Phone Use,D-01371,Nayef Al Naqbi,NN,Public Bus,Dubai Transport Co.,7.0,High Risk,investigation,Under Investigation
V-000541,2026-04-27T07:19,25.10886,55.21818,Al Barsha,moderate,Phone Use,D-00130,Salem Al Ameri,SA,Taxi,National Taxi,1.4,Low Risk,active,Active
V-004744,2026-04-27T07:09,25.18881,55.26686,Business Bay,moderate,Distraction,D-01002,Ali Al Maktoum,AM,Taxi,Dubai Taxi Corp,7.4,High Risk,active,Active
V-014673,2026-04-27T06:57,25.18908,55.271,Downtown Dubai,moderate,Speeding,D-03095,Khalifa Al Romaithi,KR,Marine,Emirates Marine Transport,8.9,Critical,active,Active
V-013787,2026-04-27T06:55,25.07744,55.14559,Dubai Marina,high,Speeding,D-02895,Jassim Al Shehhi,JS,Limousine & E-Hail,Uber Dubai,8.0,Critical,suspended,Suspended
V-009086,2026-04-27T06:53,25.28039,55.31176,Deira,low,Speeding,D-01955,Abdullah Al Mansoori,AM,School Bus,Al Reef School Transport,6.0,Moderate,active,Active
V-014255,2026-04-27T06:53,25.13724,55.38783,Silicon Oasis,moderate,Distraction,D-03011,Sultan Al Naqbi,SN,Marine,Dubai Ferry Services,5.2,Moderate,active,Active
V-004510,2026-04-27T06:45,25.23237,55.40987,Mirdif,moderate,Driver Fatigue,D-00952,Maher Al Sayegh,MS,Taxi,National Taxi,4.7,Moderate,active,Active
V-000593,2026-04-27T06:44,25.27651,55.32445,Deira,high,Distraction,D-00145,Salem Al Otaiba,SO,Taxi,Al Naboodah Taxi,7.3,High Risk,active,Active
V-012972,2026-04-27T06:40,25.18157,55.26994,Business Bay,high,Harsh Braking,D-02728,Omar Al Rashidi,OR,Limousine & E-Hail,Emirates Limousine,6.7,High Risk,active,Active
V-002451,2026-04-27T06:34,25.188,55.26092,Business Bay,high,Speeding,D-00519,Ibrahim Al Khouri,IK,Taxi,National Taxi,9.6,Critical,suspended,Suspended
V-015151,2026-04-27T06:24,25.27271,55.31376,Deira,low,Speeding,D-03193,Abdullah Al Hashemi,AH,Hourly Rental,Avis Dubai,5.7,Moderate,active,Active
V-005822,2026-04-27T06:17,25.26864,55.31891,Deira,low,Phone Use,D-01236,Ammar Al Qasimi,AQ,Public Bus,Dubai Transport Co.,6.3,Moderate,active,Active
V-010517,2026-04-27T06:16,25.24785,55.3908,Al Rashidiya,low,Idling,D-02216,Ziad Al Ali,ZA,School Bus,Al Reef School Transport,7.7,High Risk,active,Active
V-001229,2026-04-27T06:11,25.30122,55.42448,Al Qusais,low,Lane Violation,D-00275,Adel Al Qasimi,AQ,Taxi,Al Naboodah Taxi,8.1,Critical,suspended,Suspended
V-013813,2026-04-27T06:09,25.23965,55.43579,Mirdif,low,Speeding,D-02904,Mohammed Al Shamsi,MS,Limousine & E-Hail,Uber Dubai,2.8,Low Risk,active,Active
V-001107,2026-04-27T06:07,25.24448,55.38645,Al Rashidiya,moderate,Speeding,D-00246,Omar Al Dhaheri,OD,Taxi,Cars Taxi,7.8,High Risk,suspended,Suspended
V-013334,2026-04-27T06:04,25.07254,55.22498,Dubai Sports City,low,Route Deviation,D-02812,Khalifa Al Mulla,KM,Limousine & E-Hail,Al Ghazal Transport,3.2,Low Risk,active,Active
V-004362,2026-04-27T05:55,25.19604,55.26221,Business Bay,high,Speeding,D-00924,Yusuf Al Naqbi,YN,Taxi,National Taxi,7.7,High Risk,investigation,Under Investigation
V-008309,2026-04-27T05:55,25.12358,55.21187,Al Barsha,low,Speeding,D-01754,Adel Al Mehairi,AM,School Bus,GEMS Transport,3.0,Low Risk,active,Active
V-015641,2026-04-27T05:55,25.04226,55.21962,Dubai Sports City,low,Harsh Braking,D-03305,Omar Al Jaberi,OJ,Hourly Rental,Budget Rent-a-Car,1.9,Low Risk,active,Active
V-000614,2026-04-27T05:44,25.1861,55.27482,Downtown Dubai,high,Route Deviation,D-00151,Abdullah Al Mahmoud,AM,Taxi,Emirates Taxi LLC,8.3,Critical,suspended,Suspended
V-012371,2026-04-27T05:38,25.24348,55.39329,Al Rashidiya,moderate,Speeding,D-02620,Mubarak Al Kaabi,MK,Limousine & E-Hail,Careem Fleet,6.8,High Risk,investigation,Under Investigation
V-003064,2026-04-27T05:31,25.1137,55.21258,Al Barsha,low,Speeding,D-00645,Adel Al Ali,AA,Taxi,National Taxi,4.0,Moderate,active,Active
V-006578,2026-04-27T05:26,25.08765,55.13022,Dubai Marina,moderate,Idling,D-01392,Obaid Al Jaberi,OJ,Public Bus,RTA Public Transport,7.0,High Risk,active,Active
V-015094,2026-04-27T05:21,25.08793,55.12759,JBR,low,Idling,D-03181,Bandar Al Otaiba,BO,Hourly Rental,Hertz UAE,7.2,High Risk,investigation,Under Investigation
V-004216,2026-04-27T05:17,25.19789,55.27584,Downtown Dubai,moderate,Harsh Braking,D-00883,Sami Bin Hamad,SH,Taxi,National Taxi,3.8,Moderate,active,Active
V-000201,2026-04-27T05:07,25.1344,55.38041,Silicon Oasis,high,Phone Use,D-00050,Bader Al Awadhi,BA,Taxi,Metro Taxi,7.6,High Risk,investigation,Under Investigation
V-007731,2026-04-27T05:04,25.16248,55.23573,Al Quoz,low,Distraction,D-01634,Bader Al Falasi,BF,Public Bus,RTA Public Transport,7.2,High Risk,investigation,Under Investigation
V-008939,2026-04-27T04:51,25.1952,55.27087,Business Bay,moderate,Speeding,D-01917,Hussein Al Mehairi,HM,School Bus,Al Mawakeb Transport,7.4,High Risk,active,Active
V-002753,2026-04-27T04:50,24.99783,55.06509,Jebel Ali,low,Speeding,D-00580,Fahad Al Suwaidi,FS,Taxi,Emirates Taxi LLC,1.9,Low Risk,active,Active
V-011804,2026-04-27T04:44,25.08126,55.13322,JBR,moderate,Speeding,D-02508,Tamer Al Dhaheri,TD,Limousine & E-Hail,Emirates Limousine,6.5,High Risk,suspended,Suspended
V-008806,2026-04-27T04:42,25.27658,55.32579,Deira,low,Distraction,D-01879,Adel Al Hashimi,AH,School Bus,Al Mawakeb Transport,3.4,Low Risk,active,Active
V-009684,2026-04-27T04:41,25.27422,55.33156,Deira,low,Lane Violation,D-02057,Bader Al Mansoori,BM,School Bus,Al Reef School Transport,9.4,Critical,suspended,Suspended
V-005165,2026-04-27T04:14,25.29002,55.39371,Al Qusais,high,Lane Violation,D-01102,Ahmed Al Khouri,AK,Taxi,Cars Taxi,4.1,Moderate,active,Active
V-011179,2026-04-27T04:10,25.21327,55.26889,Downtown Dubai,low,Speeding,D-02380,Nasser Al Mehairi,NM,Limousine & E-Hail,Emirates Limousine,3.5,Moderate,active,Active
V-011812,2026-04-27T03:59,25.27337,55.33396,Deira,moderate,Speeding,D-02510,Saeed Al Khouri,SK,Limousine & E-Hail,Al Ghazal Transport,4.9,Moderate,active,Active
V-016263,2026-04-27T03:58,25.24651,55.40239,Al Rashidiya,moderate,Harsh Braking,D-03443,Saif Al Mehairi,SM,Hourly Rental,Europcar,7.2,High Risk,active,Active
V-002425,2026-04-27T03:53,25.30181,55.4118,Al Qusais,moderate,Speeding,D-00511,Ali Al Mazrouei,AM,Taxi,Cars Taxi,2.8,Low Risk,active,Active
V-015397,2026-04-27T03:46,25.18221,55.26295,Business Bay,low,Phone Use,D-03246,Marwan Al Mehrezi,MM,Hourly Rental,Avis Dubai,7.5,High Risk,active,Active
V-004787,2026-04-27T03:38,25.07563,55.13714,JBR,low,Speeding,D-01012,Ahmed Al Shamsi,AS,Taxi,National Taxi,1.9,Low Risk,active,Active
V-001504,2026-04-27T03:33,25.24868,55.39784,Al Rashidiya,moderate,Phone Use,D-00321,Hassan Al Hashimi,HH,Taxi,Emirates Taxi LLC,7.1,High Risk,active,Active
V-005752,2026-04-27T03:33,25.20459,55.21676,Jumeirah,low,Idling,D-01217,Hamad Bin Hamad,HH,Public Bus,Dubai Transport Co.,6.4,Moderate,active,Active
V-000662,2026-04-27T03:31,25.26921,55.337,Deira,high,Speeding,D-00156,Maher Al Naqbi,MN,Taxi,Emirates Taxi LLC,9.5,Critical,suspended,Suspended
V-015902,2026-04-27T03:31,25.13088,55.19334,Al Barsha,low,Driver Fatigue,D-03357,Yousef Al Mulla,YM,Hourly Rental,Avis Dubai,4.8,Moderate,active,Active
V-014240,2026-04-27T03:30,25.29262,55.40408,Al Qusais,high,Speeding,D-03007,Adel Al Falasi,AF,Marine,Dubai Ferry Services,1.7,Low Risk,active,Active
V-007489,2026-04-27T03:28,25.10758,55.19543,Al Barsha,high,Speeding,D-01580,Sami Al Nuaimi,SN,Public Bus,RTA Public Transport,9.8,Critical,active,Active
V-007178,2026-04-27T03:26,25.11441,55.19437,Al Barsha,low,Idling,D-01508,Adel Al Falasi,AF,Public Bus,RTA Public Transport,7.3,High Risk,investigation,Under Investigation
V-016360,2026-04-27T03:24,25.19218,55.25947,Business Bay,moderate,Driver Fatigue,D-03463,Hisham Al Otaiba,HO,Hourly Rental,Hertz UAE,5.0,Moderate,active,Active
V-004917,2026-04-27T03:19,25.1941,55.2245,Jumeirah,high,Camera Tampering,D-01044,Yousef Al Shehhi,YS,Taxi,Emirates Taxi LLC,1.5,Low Risk,active,Active
V-004591,2026-04-27T03:05,25.09284,55.1324,Dubai Marina,low,Distraction,D-00975,Tamer Al Tamimi,TT,Taxi,Metro Taxi,6.9,High Risk,investigation,Under Investigation
V-008205,2026-04-27T02:57,25.08949,55.13138,Dubai Marina,low,Distraction,D-01732,Marwan Al Romaithi,MR,Public Bus,Dubai Transport Co.,1.8,Low Risk,active,Active
V-008368,2026-04-27T02:55,25.21374,55.21835,Jumeirah,moderate,Harsh Braking,D-01773,Karim Al Rashidi,KR,School Bus,GEMS Transport,6.1,Moderate,active,Active
V-012674,2026-04-27T02:44,25.27969,55.34253,Deira,high,Distraction,D-02686,Hassan Al Jaberi,HJ,Limousine & E-Hail,Careem Fleet,4.0,Moderate,active,Active
V-003166,2026-04-27T02:42,25.13975,55.38875,Silicon Oasis,low,Route Deviation,D-00661,Yusuf Al Hashemi,YH,Taxi,Dubai Taxi Corp,8.6,Critical,active,Active
V-003765,2026-04-27T02:42,25.11497,55.20215,Al Barsha,high,Phone Use,D-00781,Sultan Bin Hamad,SH,Taxi,Cars Taxi,5.1,Moderate,active,Active
V-001423,2026-04-27T02:41,25.24585,55.38469,Al Rashidiya,low,Distraction,D-00308,Fahad Al Sharqi,FS,Taxi,National Taxi,2.3,Low Risk,active,Active
V-008714,2026-04-27T02:39,25.0065,55.1111,Jebel Ali,low,Harsh Braking,D-01849,Salem Al Qasimi,SQ,School Bus,Al Mawakeb Transport,7.2,High Risk,active,Active
V-015363,2026-04-27T02:35,25.30932,55.39084,Al Qusais,high,Camera Tampering,D-03236,Jassim Al Otaiba,JO,Hourly Rental,Hertz UAE,7.5,High Risk,investigation,Under Investigation
V-002984,2026-04-27T02:33,25.26411,55.3279,Deira,low,Speeding,D-00631,Mohammed Al Ameri,MA,Taxi,Dubai Taxi Corp,4.5,Moderate,active,Active
V-007820,2026-04-27T02:32,25.00635,55.07672,Jebel Ali,low,Harsh Braking,D-01654,Tariq Al Jaberi,TJ,Public Bus,Dubai Transport Co.,6.6,High Risk,active,Active
V-016131,2026-04-27T02:08,25.18717,55.27244,Business Bay,high,Speeding,D-03416,Riyad Al Maktoum,RM,Hourly Rental,Hertz UAE,8.4,Critical,investigation,Under Investigation
V-011066,2026-04-27T01:58,25.29107,55.41051,Al Qusais,moderate,Distraction,D-02349,Yousef Al Mehrezi,YM,Limousine & E-Hail,Al Ghazal Transport,7.1,High Risk,active,Active
V-007974,2026-04-27T01:54,24.99449,55.18351,Dubai Investment Park,moderate,Speeding,D-01690,Hisham Al Mansoori,HM,Public Bus,Dubai Transport Co.,8.1,Critical,investigation,Under Investigation
V-006719,2026-04-27T01:48,25.18319,55.2938,Downtown Dubai,low,Harsh Braking,D-01422,Turki Al Mansouri,TM,Public Bus,Dubai Transport Co.,3.3,Low Risk,active,Active
V-011339,2026-04-27T01:47,25.12379,55.21686,Al Barsha,moderate,Distraction,D-02412,Faisal Al Suwaidi,FS,Limousine & E-Hail,Emirates Limousine,8.2,Critical,investigation,Under Investigation
V-013975,2026-04-27T01:31,25.2661,55.33335,Deira,low,Speeding,D-02942,Rashid Al Sayegh,RS,Marine,Dubai Ferry Services,3.5,Moderate,active,Active
V-011490,2026-04-27T01:23,25.08457,55.13417,JBR,high,Phone Use,D-02453,Hani Al Mahmoud,HM,Limousine & E-Hail,Careem Fleet,8.3,Critical,suspended,Suspended
V-014585,2026-04-27T01:20,25.19553,55.23193,Jumeirah,moderate,Phone Use,D-03069,Zayed Al Bastaki,ZB,Marine,Dubai Ferry Services,6.8,High Risk,active,Active
V-012917,2026-04-27T01:17,25.11193,55.22463,Al Barsha,high,Route Deviation,D-02723,Maher Al Mulla,MM,Limousine & E-Hail,Careem Fleet,8.3,Critical,suspended,Suspended
V-002911,2026-04-27T01:09,25.19771,55.27146,Business Bay,moderate,Phone Use,D-00616,Abdullah Al Kaabi,AK,Taxi,Metro Taxi,7.7,High Risk,active,Active
V-009355,2026-04-27T00:56,25.19516,55.2614,Business Bay,high,Distraction,D-02000,Hamdan Al Mehrezi,HM,School Bus,Al Mawakeb Transport,7.2,High Risk,investigation,Under Investigation
V-005814,2026-04-27T00:52,25.06147,55.13872,Dubai Marina,low,Idling,D-01235,Salem Al Marri,SM,Public Bus,Dubai Transport Co.,5.8,Moderate,active,Active
V-009511,2026-04-27T00:52,25.25531,55.33666,Deira,high,Driver Fatigue,D-02029,Fadi Al Mazrouei,FM,School Bus,Al Mawakeb Transport,7.9,High Risk,active,Active
V-012340,2026-04-27T00:52,25.06975,55.14668,Dubai Marina,low,Speeding,D-02610,Ammar Al Nuaimi,AN,Limousine & E-Hail,Careem Fleet,0.6,Low Risk,active,Active
V-002054,2026-04-27T00:51,25.20591,55.28604,Downtown Dubai,low,Speeding,D-00450,Hussein Al Nuaimi,HN,Taxi,Metro Taxi,9.6,Critical,active,Active
V-009889,2026-04-27T00:46,25.28588,55.41008,Al Qusais,moderate,Speeding,D-02102,Rakan Al Suwaidi,RS,School Bus,Al Reef School Transport,5.7,Moderate,active,Active
V-008476,2026-04-27T00:34,25.04747,55.24583,Dubai Sports City,high,Speeding,D-01799,Rakan Al Sayegh,RS,School Bus,Al Mawakeb Transport,7.4,High Risk,investigation,Under Investigation
V-007951,2026-04-27T00:29,25.12765,55.3816,Silicon Oasis,low,Distraction,D-01687,Salem Al Ali,SA,Public Bus,RTA Public Transport,4.2,Moderate,active,Active
V-008906,2026-04-27T00:28,25.24779,55.4445,Mirdif,high,Distraction,D-01908,Younes Al Sayegh,YS,School Bus,GEMS Transport,7.0,High Risk,investigation,Under Investigation
V-007359,2026-04-27T00:26,25.26848,55.33218,Deira,low,Speeding,D-01554,Hassan Al Mahmoud,HM,Public Bus,Dubai Transport Co.,1.3,Low Risk,active,Active
V-000522,2026-04-27T00:24,25.19939,55.27337,Business Bay,moderate,Speeding,D-00127,Rashid Al Sayegh,RS,Taxi,Emirates Taxi LLC,5.4,Moderate,active,Active
V-012984,2026-04-27T00:13,25.24801,55.37312,Al Rashidiya,low,Idling,D-02729,Majid Bin Hamad,MH,Limousine & E-Hail,Careem Fleet,5.6,Moderate,active,Active
V-006066,2026-04-27T00:01,25.28326,55.31156,Deira,moderate,Distraction,D-01278,Ibrahim Al Mansouri,IM,Public Bus,RTA Public Transport,7.4,High Risk,active,Active
V-007854,2026-04-26T23:45,25.19091,55.28201,Downtown Dubai,moderate,Speeding,D-01668,Khalid Al Qasimi,KQ,Public Bus,Dubai Transport Co.,6.1,Moderate,active,Active
V-004374,2026-04-26T23:36,24.9921,55.07636,Jebel Ali,low,Harsh Braking,D-00924,Yusuf Al Naqbi,YN,Taxi,National Taxi,7.7,High Risk,investigation,Under Investigation
V-012362,2026-04-26T23:34,25.14082,55.23217,Al Quoz,high,Phone Use,D-02618,Maher Al Rashidi,MR,Limousine & E-Hail,Careem Fleet,6.9,High Risk,active,Active
V-012628,2026-04-26T23:30,25.27582,55.33231,Deira,low,Idling,D-02674,Mohammed Al Bastaki,MB,Limousine & E-Hail,Emirates Limousine,7.9,High Risk,active,Active
V-004238,2026-04-26T23:21,25.26444,55.32533,Deira,low,Route Deviation,D-00889,Marwan Al Mahmoud,MM,Taxi,Emirates Taxi LLC,2.5,Low Risk,active,Active
V-005946,2026-04-26T23:19,25.08681,55.13569,JBR,low,Idling,D-01264,Ali Al Ameri,AA,Public Bus,Dubai Transport Co.,0.9,Low Risk,active,Active
V-007329,2026-04-26T23:19,25.07869,55.16246,Dubai Marina,low,Driver Fatigue,D-01545,Ahmed Al Maktoum,AM,Public Bus,Dubai Transport Co.,4.7,Moderate,active,Active
V-012619,2026-04-26T23:15,24.99789,55.08595,Jebel Ali,high,Speeding,D-02673,Ahmed Al Shehhi,AS,Limousine & E-Hail,Emirates Limousine,7.0,High Risk,investigation,Under Investigation
V-016407,2026-04-26T23:12,25.0942,55.16297,Dubai Marina,high,Distraction,D-03466,Turki Al Qasimi,TQ,Hourly Rental,Hertz UAE,7.0,High Risk,active,Active
V-008563,2026-04-26T23:04,25.00925,55.07743,Jebel Ali,low,Route Deviation,D-01820,Majid Al Marri,MM,School Bus,Al Mawakeb Transport,6.3,Moderate,active,Active
V-004441,2026-04-26T22:43,25.28169,55.34941,Deira,moderate,Speeding,D-00937,Mansour Al Mehrezi,MM,Taxi,Metro Taxi,5.9,Moderate,active,Active
V-012102,2026-04-26T22:37,25.18824,55.27428,Business Bay,high,Camera Tampering,D-02566,Saeed Al Sharqi,SS,Limousine & E-Hail,Emirates Limousine,9.3,Critical,active,Active
V-010334,2026-04-26T22:31,24.97586,55.06885,Jebel Ali,high,Distraction,D-02179,Abdullah Al Shehhi,AS,School Bus,Al Mawakeb Transport,9.3,Critical,suspended,Suspended
V-013384,2026-04-26T22:27,25.19892,55.26977,Downtown Dubai,high,Speeding,D-02823,Saeed Al Khouri,SK,Limousine & E-Hail,Al Ghazal Transport,7.8,High Risk,active,Active
V-006227,2026-04-26T22:24,25.25529,55.32342,Deira,moderate,Distraction,D-01307,Amer Al Romaithi,AR,Public Bus,Dubai Transport Co.,6.5,High Risk,active,Active
V-004345,2026-04-26T22:15,25.15427,55.22939,Al Quoz,moderate,Speeding,D-00917,Ali Al Awadhi,AA,Taxi,Metro Taxi,3.8,Moderate,active,Active
V-012879,2026-04-26T22:15,25.01651,55.17687,Dubai Investment Park,low,Harsh Braking,D-02715,Adel Al Sharqi,AS,Limousine & E-Hail,Uber Dubai,6.1,Moderate,active,Active
V-012944,2026-04-26T22:08,25.19273,55.25866,Business Bay,moderate,Harsh Braking,D-02724,Yousef Al Suwaidi,YS,Limousine & E-Hail,Uber Dubai,5.8,Moderate,active,Active
V-014470,2026-04-26T22:08,25.00597,55.10815,Jebel Ali,low,Route Deviation,D-03055,Hussein Al Ali,HA,Marine,Dubai Ferry Services,6.3,Moderate,active,Active
V-008340,2026-04-26T22:06,24.97976,55.09485,Jebel Ali,low,Route Deviation,D-01762,Rashid Al Mazrouei,RM,School Bus,Al Mawakeb Transport,4.6,Moderate,active,Active
V-004089,2026-04-26T22:01,25.1125,55.20999,Al Barsha,moderate,Phone Use,D-00861,Ali Al Awadhi,AA,Taxi,Metro Taxi,9.8,Critical,suspended,Suspended
V-000148,2026-04-26T21:56,25.26074,55.32277,Deira,high,Driver Fatigue,D-00038,Adel Al Kaabi,AK,Taxi,Cars Taxi,7.9,High Risk,investigation,Under Investigation
V-015758,2026-04-26T21:48,25.26401,55.31537,Deira,high,Driver Fatigue,D-03329,Nasser Al Sayegh,NS,Hourly Rental,Hertz UAE,8.6,Critical,suspended,Suspended
V-001626,2026-04-26T21:42,25.12264,55.19763,Al Barsha,moderate,Driver Fatigue,D-00346,Ibrahim Bin Hamad,IH,Taxi,National Taxi,7.2,High Risk,active,Active
V-002459,2026-04-26T21:36,25.1449,55.21767,Al Quoz,moderate,Phone Use,D-00519,Ibrahim Al Khouri,IK,Taxi,National Taxi,9.6,Critical,suspended,Suspended
V-009181,2026-04-26T21:34,25.0105,55.16822,Dubai Investment Park,high,Speeding,D-01975,Walid Al Dhaheri,WD,School Bus,Al Mawakeb Transport,3.9,Moderate,active,Active
V-002218,2026-04-26T21:33,25.30406,55.3959,Al Qusais,low,Harsh Braking,D-00472,Fadi Al Jaberi,FJ,Taxi,Al Naboodah Taxi,6.8,High Risk,active,Active
V-012452,2026-04-26T21:32,25.18284,55.27247,Business Bay,low,Driver Fatigue,D-02634,Omar Al Awadhi,OA,Limousine & E-Hail,Emirates Limousine,4.7,Moderate,active,Active
V-008979,2026-04-26T21:31,25.28923,55.33312,Deira,low,Phone Use,D-01923,Fadi Al Mansouri,FM,School Bus,Al Mawakeb Transport,6.9,High Risk,active,Active
V-013568,2026-04-26T21:19,25.05033,55.23459,Dubai Sports City,low,Idling,D-02854,Younes Al Ameri,YA,Limousine & E-Hail,Careem Fleet,6.3,Moderate,investigation,Under Investigation
V-004859,2026-04-26T21:15,25.24864,55.43822,Mirdif,moderate,Driver Fatigue,D-01031,Yousef Al Shamsi,YS,Taxi,Cars Taxi,8.1,Critical,investigation,Under Investigation
V-000149,2026-04-26T21:13,25.18947,55.25974,Business Bay,moderate,Camera Tampering,D-00038,Adel Al Kaabi,AK,Taxi,Cars Taxi,7.9,High Risk,investigation,Under Investigation
V-003774,2026-04-26T21:10,25.23085,55.40543,Mirdif,high,Camera Tampering,D-00784,Hamdan Al Sayegh,HS,Taxi,Al Naboodah Taxi,5.0,Moderate,active,Active
V-009327,2026-04-26T21:09,25.0763,55.12381,JBR,moderate,Driver Fatigue,D-01997,Marwan Al Dhaheri,MD,School Bus,Al Mawakeb Transport,9.1,Critical,investigation,Under Investigation
V-013196,2026-04-26T21:09,25.19484,55.27331,Business Bay,moderate,Speeding,D-02773,Zayed Al Nuaimi,ZN,Limousine & E-Hail,Emirates Limousine,4.1,Moderate,active,Active
V-013996,2026-04-26T21:07,25.23009,55.37265,Al Rashidiya,low,Speeding,D-02947,Adel Al Mansouri,AM,Marine,Emirates Marine Transport,3.0,Low Risk,active,Active
